ClassCode,LineNo,Misc1,RoomNo,CourseName,Misc2,Year,Dept,StaffCode,ClassSize,TotalSize,TimetableYear,Misc3
SocialStud,0,0,10,SocialStud,0,0,SocialStud,RY,28,28,2025TT,SocialStud|||||RY|10|28|28|19066;19066;19066;19066;19066;19066;19066;19066;19066;19066;19066;19066;19066;19066;22019;22019;22019;22019;22019;22019;22019;22019;22019;22019;22019;22019;22019;22019|||3|0
10MATH,10S,0,10,Mathematics,Year 10,10,Mathematics,SD,16,16,2025TT,10MATH|10S||||SD|10|16|16||||2|0||
10ENG,10W,0,10,English,Year 10,10,English and Languages,TJ,23,23,2025TT,10ENG|10W||||TJ|10|23|23||||2|0||
10SS,10W,0,10,Social Studies,Year 10,10,Social Science,TJ,23,23,2025TT,10SS|10W||||TJ|10|23|23||||2|0||
10SCIHE,0,0,12,10SCIHE,Year 10,10,SCIHE,AE,1,1,2025TT,10SCIHE|||||AE|12|1|1|23053|||3|0
MISCI,JMI,0,12,Science,Junior School,7,Science,AE,20,20,2025TT,MISCI|JMI||||AE|12|20|20||||2|0||
200CHEM,6,1,12,Chemistry,NCEA Level 2,12,Science,SH,11,16,2025TT,200CHEM||6|1|0|SH|12|11|16||||1|0||
9SCI,9H,0,12,Science,Year 9,9,Science,SH,17,17,2025TT,9SCI|9H||||SH|12|17|17||||2|0||
VESCI,JVE,0,12,Science,Junior School,7,Science,SH,24,24,2025TT,VESCI|JVE||||SH|12|24|24||||2|0||
MISCI,JMI,0,12,Science,Junior School,7,Science,VR,20,20,2025TT,MISCI|JMI||||VR|12|20|20||||2|1||
300CHEM,3,1,12,Chemistry,NCEA Level 3,13,Science,WY,5,5,2025TT,300CHEM||3|1|0|WY|12|5|5||||1|0||
200CHEM,3,1,12,Chemistry,NCEA Level 2,12,Science,WY,5,16,2025TT,200CHEM||3|1|0|WY|12|5|16||||1|0||
100SCIE,1,1,12,Science,NCEA Level 1,11,Science,WY,16,53,2025TT,100SCIE||1|1|0|WY|12|16|53||||1|0||
10SCI,10H,0,12,Science,Year 10,10,Science,WY,25,25,2025TT,10SCI|10H||||WY|12|25|25||||2|0||
WHANAU,7WAHI,0,12,Life Skills/Personal Development,Year 1,1,English and Languages,WY,12,12,2025TT,WHANAU|7WAHI||||WY|12|12|12||||2|0||
MEET,7WAHI,0,12,MEET,0,0,MEET,WY,12,12,2025TT,MEET|7WAHI||||WY|12|12|12||||2|0||
100SCIE,6,1,13,Science,NCEA Level 1,11,Science,BT,21,53,2025TT,100SCIE||6|1|0|BT|13|21|53||||1|0||
300BIOL,1,1,13,Biology,NCEA Level 3,13,Science,SH,11,11,2025TT,300BIOL||1|1|0|SH|13|11|11||||1|0||
MTRSCI,MTR,0,13,Science,Middle School,10,Science,SH,10,10,2025TT,MTRSCI|MTR||||SH|13|10|10||||2|0||
JTRSCI,JTR,0,13,Science,Junior School,7,Science,SH,14,14,2025TT,JTRSCI|JTR||||SH|13|14|14||||2|0||
200BIOL,4,1,13,Biology,NCEA Level 2,12,Science,VR,20,20,2025TT,200BIOL||4|1|0|VR|13|20|20||||1|0||
100SCIE,3,1,13,Science,NCEA Level 1,11,Science,VR,16,53,2025TT,100SCIE||3|1|0|VR|13|16|53||||1|0||
10SCI,10S,0,13,Science,Year 10,10,Science,VR,16,16,2025TT,10SCI|10S||||VR|13|16|16||||2|0||
9SCI,9S,0,13,Science,Year 9,9,Science,VR,20,20,2025TT,9SCI|9S||||VR|13|20|20||||2|0||
PISCI,JPI,0,13,Science,Junior School,7,Science,VR,21,21,2025TT,PISCI|JPI||||VR|13|21|21||||2|0||
WHANAU,9WHAU,0,13,Life Skills/Personal Development,Year 1,1,English and Languages,VR,12,12,2025TT,WHANAU|9WHAU||||VR|13|12|12||||2|0||
MEET,9WHAU,0,13,MEET,0,0,MEET,VR,12,12,2025TT,MEET|9WHAU||||VR|13|12|12||||2|0||
300PHYS,2,1,14,Physics,NCEA Level 3,13,Science,AE,10,10,2025TT,300PHYS||2|1|0|AE|14|10|10||||1|0||
200PHYS,5,1,14,Physics,NCEA Level 2,12,Science,AE,17,17,2025TT,200PHYS||5|1|0|AE|14|17|17||||1|0||
10SCI,10W,0,14,Science,Year 10,10,Science,AE,23,23,2025TT,10SCI|10W||||AE|14|23|23||||2|0||
9SCI,9W,0,14,Science,Year 9,9,Science,AE,18,18,2025TT,9SCI|9W||||AE|14|18|18||||2|0||
SRSCI,JSR,0,14,Science,Year 7,7,Science,AE,19,19,2025TT,SRSCI|JSR||||AE|14|19|19||||2|0||
WHANAU,12WWAI,0,14,Life Skills/Personal Development,Year 1,1,English and Languages,AE,7,7,2025TT,WHANAU|12WWAI||||AE|14|7|7||||2|0||
MEET,12WWAI,0,14,MEET,0,0,MEET,AE,7,7,2025TT,MEET|12WWAI||||AE|14|7|7||||2|0||
SDSCI,JSD,0,14,Science,Junior School,8,Science,SH,19,19,2025TT,SDSCI|JSD||||SH|14|19|19||||2|0||
200AGHO,6,1,15,Agriculture and Horticulture,NCEA Level 2,12,Science,WY,8,8,2025TT,200AGHO||6|1|0|WY|15|8|8||||1|0||
200COLAB,1,1,22,Colab Mathematics,NCEA Level 2,12,Mathematics,JK,0,0,2025TT,200COLAB||1|1|0|JK|22|0|0||||1|0||
100NUMR,4,1,22,Level 1 Numeracy,NCEA Level 1,11,Mathematics,JK,14,27,2025TT,100NUMR||4|1|0|JK|22|14|27||||1|0||
10MATH,10H,0,22,Mathematics,Year 10,10,Mathematics,JK,25,25,2025TT,10MATH|10H||||JK|22|25|25||||2|0||
WHANAU,11WWAI,0,22,Life Skills/Personal Development,Year 1,1,English and Languages,JK,14,14,2025TT,WHANAU|11WWAI||||JK|22|14|14||||2|0||
MEET,11WWAI,0,22,MEET,0,0,MEET,JK,14,14,2025TT,MEET|11WWAI||||JK|22|14|14||||2|0||
10MATH,10W,0,22,Mathematics,Year 10,10,Mathematics,JM,23,23,2025TT,10MATH|10W||||JM|22|23|23||||2|0||
12STUDYRs,7,1,23,12STUDYRs,Year 12,12,STUDYRs,RS,28,28,2025TT,12STUDYRs||7|1|0|RS|23|28|28||||1|0||
MCONS,82A,1,8a,Conservation,Middle School,10,Social Science,BT,14,31,2025TT,MCONS||82|1|1|BT|8a|14|31||||1|0||
200HIST,5,1,8a,History,NCEA Level 2,12,Social Science,CY,7,7,2025TT,200HIST||5|1|0|CY|8a|7|7||||1|0||
ESOL,0,0,8a,ESOL,0,0,ESOL,CY,6,6,2025TT,ESOL|||||CY|8a|6|6|25094;23091;24067;25092;25091;25093|||3|0
RightTrack,0,0,BMeet,RightTrack,0,0,RightTrack,KV,4,4,2025TT,RightTrack|||||KV|BMeet|4|4|23043;21029;21050;21009|||3|0
300COMP,8,1,CW,Computer Studies,NCEA Level 3,13,Technology,VP,0,0,2025TT,300COMP||8|1|0|VP|CW|0|0||||1|0||
300DTECH,4,1,CW,Digital Technologies,NCEA Level 3,13,Technology,VP,1,5,2025TT,300DTECH||4|1|0|VP|CW|1|5||||1|0||
300DTECH,1,1,CW,Digital Technologies,NCEA Level 3,13,Technology,VP,4,5,2025TT,300DTECH||1|1|0|VP|CW|4|5||||1|0||
200COMP,8,1,CW,Computer Studies,NCEA Level 2,12,Technology,VP,0,0,2025TT,200COMP||8|1|0|VP|CW|0|0||||1|0||
200DTECH,4,1,CW,Digital Technologies,NCEA Level 2,12,Technology,VP,3,11,2025TT,200DTECH||4|1|0|VP|CW|3|11||||1|0||
200DTECH,1,1,CW,Digital Technologies,NCEA Level 2,12,Technology,VP,8,11,2025TT,200DTECH||1|1|0|VP|CW|8|11||||1|0||
100DTECHS,9,1,CW,Digital Technologies,NCEA Level 1,11,Technology,VP,1,1,2025TT,100DTECHS||9|1|0|VP|CW|1|1||||1|0||
100COMP,8,1,CW,Computer Studies,NCEA Level 1,11,Technology,VP,0,1,2025TT,100COMP||8|1|0|VP|CW|0|1||||1|0||
100DTECH,4,1,CW,Digital Technologies,NCEA Level 1,11,Technology,VP,7,14,2025TT,100DTECH||4|1|0|VP|CW|7|14||||1|0||
100DTECH,1,1,CW,Digital Technologies,NCEA Level 1,11,Technology,VP,7,14,2025TT,100DTECH||1|1|0|VP|CW|7|14||||1|0||
MWEB,81D,1,CW,Web Design,Middle School,10,Technology,VP,25,25,2025TT,MWEB||81|1|4|VP|CW|25|25||||1|0||
MWEB,81C,1,CW,Web Design,Middle School,10,Technology,VP,25,25,2025TT,MWEB||81|1|3|VP|CW|25|25||||1|0||
MPROG,81B,1,CW,Middle DTECH - Programming,Middle School,10,Technology,VP,24,24,2025TT,MPROG||81|1|2|VP|CW|24|24||||1|0||
MPROG,81A,1,CW,Middle DTECH - Programming,Middle School,10,Technology,VP,24,24,2025TT,MPROG||81|1|1|VP|CW|24|24||||1|0||
SRDTECH,JSR,0,CW,Digital Technology,Junior School,8,Technology,VP,19,19,2025TT,SRDTECH|JSR||||VP|CW|19|19||||2|0||
SDDTECH,JSD,0,CW,Digital Technologies,Junior School,7,Technology,VP,19,19,2025TT,SDDTECH|JSD||||VP|CW|19|19||||2|0||
PIDTECH,JPI,0,CW,Digital Technologies,Year 7,7,Technology,VP,21,21,2025TT,PIDTECH|JPI||||VP|CW|21|21||||2|0||
MIDTECH,JMI,0,CW,Digital Technologies,Junior School,7,Technology,VP,20,20,2025TT,MIDTECH|JMI||||VP|CW|20|20||||2|0||
8SDTECH,8S,0,CW,Digital Technologies,Year 7,7,Technology,VP,11,11,2025TT,8SDTECH|8S||||VP|CW|11|11||||2|0||
7SDTECH,7S,0,CW,Digtal Technologies,Year 7,7,Technology,VP,13,13,2025TT,7SDTECH|7S||||VP|CW|13|13||||2|0||
WHANAU,8WHAU,0,CW,Life Skills/Personal Development,Year 1,1,English and Languages,VP,14,14,2025TT,WHANAU|8WHAU||||VP|CW|14|14||||2|0||
MEET,8WHAU,0,CW,MEET,0,0,MEET,VP,14,14,2025TT,MEET|8WHAU||||VP|CW|14|14||||2|0||
300MATS,5,1,DR,Mathematics with Statistics,NCEA Level 3,13,Mathematics,CL,16,16,2025TT,300MATS||5|1|0|CL|DR|16|16||||1|0||
MDRAMA,81D,1,DR,Drama,Middle School,10,Arts,JA,18,30,2025TT,MDRAMA||81|1|4|JA|DR|18|30||||1|0||
MDRAMA,81C,1,DR,Drama,Middle School,10,Arts,JA,17,30,2025TT,MDRAMA||81|1|3|JA|DR|17|30||||1|0||
MDRAMA,81B,1,DR,Drama,Middle School,10,Arts,JA,15,30,2025TT,MDRAMA||81|1|2|JA|DR|15|30||||1|0||
MDRAMA,81A,1,DR,Drama,Middle School,10,Arts,JA,0,30,2025TT,MDRAMA||81|1|1|JA|DR|0|30||||1|0||
VEDRAMA,JVE,0,DR,Drama,Junior School,7,Arts,JA,24,24,2025TT,VEDRAMA|JVE||||JA|DR|24|24||||2|0||
WHANAU,12WHAU,0,DR,Life Skills/Personal Development,Year 1,1,English and Languages,JA,11,11,2025TT,WHANAU|12WHAU||||JA|DR|11|11||||2|0||
MEET,12WHAU,0,DR,MEET,0,0,MEET,JA,11,11,2025TT,MEET|12WHAU||||JA|DR|11|11||||2|0||
NETNZDRAMA,6,1,DR,Drama,Year 1,1,Arts,JT,1,6,2025TT,NETNZDRAMA||6|1|0|JT|DR|1|6||||1|0||
NETNZDRAMA,4,1,DR,Drama,Year 1,1,Arts,JT,2,6,2025TT,NETNZDRAMA||4|1|0|JT|DR|2|6||||1|0||
NETNZDRAMA,2,1,DR,Drama,Year 1,1,Arts,JT,1,6,2025TT,NETNZDRAMA||2|1|0|JT|DR|1|6||||1|0||
NETNZDRAMA,6,1,DR,Drama,Year 1,1,Arts,RS,1,6,2025TT,NETNZDRAMA||6|1|0|RS|DR|1|6||||1|1||
NETNZDRAMA,4,1,DR,Drama,Year 1,1,Arts,RS,2,6,2025TT,NETNZDRAMA||4|1|0|RS|DR|2|6||||1|1||
NETNZDRAMA,2,1,DR,Drama,Year 1,1,Arts,RS,1,6,2025TT,NETNZDRAMA||2|1|0|RS|DR|1|6||||1|1||
300HOSP,1,1,F,Hospitality,NCEA Level 3,13,Technology,DK,18,18,2025TT,300HOSP||1|1|0|DK|F|18|18||||1|0||
100HOSP,6,1,F,Hospitality,NCEA Level 1,11,Technology,DK,18,38,2025TT,100HOSP||6|1|0|DK|F|18|38||||1|0||
MFOOD,82D,1,F,Food and Nutrition,Middle School,10,Technology,DK,23,83,2025TT,MFOOD||82|1|4|DK|F|23|83||||1|0||
MFOOD,82C,1,F,Food and Nutrition,Middle School,10,Technology,DK,22,83,2025TT,MFOOD||82|1|3|DK|F|22|83||||1|0||
MFOOD,82B,1,F,Food and Nutrition,Middle School,10,Technology,DK,22,83,2025TT,MFOOD||82|1|2|DK|F|22|83||||1|0||
MFOOD,82A,1,F,Food and Nutrition,Middle School,10,Technology,DK,22,83,2025TT,MFOOD||82|1|1|DK|F|22|83||||1|0||
