ClassCode,LineNo,Misc1,RoomNo,CourseName,Misc2,Year,Dept,StaffCode,ClassSize,TotalSize,TimetableYear,Misc3
SRWOOD,JSR,0,GR,Woodwork,Junior School,8,Technology,MR,19,19,2025TT,SRWOOD|JSR||||MR|GR|19|19||||2|0||
8SWOOD,8S,0,GR,Hard Materials,Year 8,8,Technology,MR,11,11,2025TT,8SWOOD|8S||||MR|GR|11|11||||2|0||
PIWOOD,JPI,0,GR,Hard Materials,Junior School,7,Technology,MR,21,21,2025TT,PIWOOD|JPI||||MR|GR|21|21||||2|0||
MIWOOD,JMI,0,GR,Hard Materials,Junior School,7,Technology,MR,20,20,2025TT,MIWOOD|JMI||||MR|GR|20|20||||2|0||
7SWOOD,7S,0,GR,Y7 Wood Technology SM,Year 7,7,Technology,MR,13,13,2025TT,7SWOOD|7S||||MR|GR|13|13||||2|0||
WHANAU,8WPAPA,0,GR,Life Skills/Personal Development,Year 1,1,English and Languages,MR,13,13,2025TT,WHANAU|8WPAPA||||MR|GR|13|13||||2|0||
MEET,8WPAPA,0,GR,MEET,0,0,MEET,MR,13,13,2025TT,MEET|8WPAPA||||MR|GR|13|13||||2|0||
10ENGHE,0,0,GR,10ENGHE,Year 10,10,ENGHE,TJ,2,2,2025TT,10ENGHE|||||TJ|GR|2|2|23053;23005|||3|0
100DVC,1,1,GR,Design & Visual Communication,NCEA Level 1,11,Technology,VP,5,5,2025TT,100DVC||1|1|0|VP|GR|5|5||||1|1||
WHANAU,12LR,0,Green,Life Skills/Personal Development,Year 1,1,English and Languages,LR,7,7,2025TT,WHANAU|12LR||||LR|GREEN|7|7||||2|0||
MEET,12LR,0,Green,MEET,0,0,MEET,LR,7,7,2025TT,MEET|12LR||||LR|GREEN|7|7||||2|0||
GATEWAY,3,1,GW,Transition/Pre-Employment,NCEA Level 2,12,GATEWAY,KV,2,22,2025TT,Gateway||3|1|0|KV|GW|2|22||||1|0||
GATEWAY,2,1,GW,Transition/Pre-Employment,NCEA Level 2,12,GATEWAY,KV,20,22,2025TT,Gateway||2|1|0|KV|GW|20|22||||1|0||
11STUDYLTR,Year11LITR,0,GW,11STUDYLTR,Year 11,11,STUDYLTR,KV,18,18,2025TT,11STUDYLTR|Year11LITR||||KV|GW|18|18||||2|0||
11STUDYKv,7,1,GW,Specify Subject Name,NCEA Level 1,11,Gateway,KV,20,20,2025TT,11STUDYKv||7|1|0|KV|GW|20|20||||1|0||
WHANAU,9WAHI,0,GW,Life Skills/Personal Development,Year 1,1,English and Languages,KV,13,13,2025TT,WHANAU|9WAHI||||KV|GW|13|13||||2|0||
GWAdmin,KV,0,GW,GWAdmin,0,0,GWAdmin,KV,0,0,2025TT,GWAdmin|KV||||KV|GW|0|0||||2|0||
MEET,9WAHI,0,GW,MEET,0,0,MEET,KV,13,13,2025TT,MEET|9WAHI||||KV|GW|13|13||||2|0||
100ENG,5,1,GW,English,NCEA Level 1,11,English and Languages,PQ,18,40,2025TT,100ENG||5|1|0|PQ|GW|18|40||||1|0||
12STUDYBt,7,1,GW,12STUDYBt,Year 12,12,STUDYBt,0,0,0,2025TT,12STUDYBt||7|1|0||GW|0|0||||1|0||
STUDY,0,0,Hall,STUDY,0,0,STUDY,SH,3,3,2025TT,STUDY|||||SH|Hall|3|3|24070;20091;20003|||3|0
NL3HIS,4,1,LIB,NETNZ L3 History,NCEA Level 3,13,Social Science,JT,1,1,2025TT,NL3HIS||4|1|0|JT|LIB|1|1||||1|0||
WHANAU,12WPAPA,0,LIB,Life Skills/Personal Development,Year 1,1,English and Languages,MK,12,12,2025TT,WHANAU|12WPAPA||||MK|LIB|12|12||||2|0||
MEET,12WPAPA,0,LIB,MEET,0,0,MEET,MK,12,12,2025TT,MEET|12WPAPA||||MK|LIB|12|12||||2|0||
100MUSC,6,1,MR,Music,NCEA Level 1,11,Arts,JA,2,2,2025TT,100MUSC||6|1|0|JA|MR|2|2||||1|0||
MMUSIC,82D,1,MR,Music,Middle School,10,Arts,JA,21,23,2025TT,MMUSIC||82|1|4|JA|MR|21|23||||1|0||
MMUSIC,82C,1,MR,Music,Middle School,10,Arts,JA,22,23,2025TT,MMUSIC||82|1|3|JA|MR|22|23||||1|0||
VEMUSIC,JVE,0,MR,Music,Junior School,7,Arts,JA,24,24,2025TT,VEMUSIC|JVE||||JA|MR|24|24||||2|0||
SRDRAMA,JSR,0,MR,Drama,Year 7,7,Arts,JA,19,19,2025TT,SRDRAMA|JSR||||JA|MR|19|19||||2|0||
PIMUSIC,JPI,0,MR,Music,Junior School,7,Arts,JA,21,21,2025TT,PIMUSIC|JPI||||JA|MR|21|21||||2|0||
MIMUSIC,JMI,0,MR,Music,Junior School,7,Arts,JA,20,20,2025TT,MIMUSIC|JMI||||JA|MR|20|20||||2|0||
200APMAT,1,1,MR,Mathematics - Core,NCEA Level 2,12,Mathematics,JD,16,16,2025TT,200APMAT||1|1|0|JD|MR|16|16||||1|0||
MJAPANESE,81A,1,MR,Japanese,Middle School,10,English and Languages,NR,14,14,2025TT,MJAPANESE||81|1|1|NR|MR|14|14||||1|0||
200APENG,5,1,MR,200 Applied English,NCEA Level 2,12,English and Languages,WA,11,11,2025TT,200APENG||5|1|0|WA|MR|11|11||||1|0||
WHANAU,11WAHI,0,MR,Life Skills/Personal Development,Year 1,1,English and Languages,WA,13,13,2025TT,WHANAU|11WAHI||||WA|MR|13|13||||2|0||
MEET,11WAHI,0,MR,MEET,0,0,MEET,WA,13,13,2025TT,MEET|11WAHI||||WA|MR|13|13||||2|0||
300OUEDA,3,1,OE,Outdoor Education (Adventure),NCEA Level 3,13,Physical Education,CY,5,5,2025TT,300OUEDA||3|1|0|CY|OE|5|5||||1|1||
MOUED,82D,1,OE,Outdoor Education,Middle School,10,Physical Education,HM,19,37,2025TT,MOUED||82|1|4|HM|OE|19|37||||1|1||
MOUED,82C,1,OE,Outdoor Education,Middle School,10,Physical Education,HM,18,37,2025TT,MOUED||82|1|3|HM|OE|18|37||||1|1||
MOUED,82B,1,OE,Outdoor Education,Middle School,10,Physical Education,HM,19,37,2025TT,MOUED||82|1|2|HM|OE|19|37||||1|1||
MOUED,82A,1,OE,Outdoor Education,Middle School,10,Physical Education,HM,19,37,2025TT,MOUED||82|1|1|HM|OE|19|37||||1|1||
300OUEDA,3,1,OE,Outdoor Education (Adventure),NCEA Level 3,13,Physical Education,TB,5,5,2025TT,300OUEDA||3|1|0|TB|OE|5|5||||1|0||
200OUEDR,5,1,OE,Outdoor Education (Recreation),NCEA Level 2,12,Physical Education,TB,9,9,2025TT,200OUEDR||5|1|0|TB|OE|9|9||||1|0||
200OUEDA,1,1,OE,Outdoor Education (Adventure),NCEA Level 2,12,Physical Education,TB,11,11,2025TT,200OUEDA||1|1|0|TB|OE|11|11||||1|0||
100OUEDA,4,1,OE,Outdoor Education (Adventure),NCEA Level 1,11,Physical Education,TB,9,9,2025TT,100OUEDA||4|1|0|TB|OE|9|9||||1|0||
MOUED,82D,1,OE,Outdoor Education,Middle School,10,Physical Education,TB,19,37,2025TT,MOUED||82|1|4|TB|OE|19|37||||1|0||
MOUED,82C,1,OE,Outdoor Education,Middle School,10,Physical Education,TB,18,37,2025TT,MOUED||82|1|3|TB|OE|18|37||||1|0||
MOUED,82B,1,OE,Outdoor Education,Middle School,10,Physical Education,TB,19,37,2025TT,MOUED||82|1|2|TB|OE|19|37||||1|0||
MOUED,82A,1,OE,Outdoor Education,Middle School,10,Physical Education,TB,19,37,2025TT,MOUED||82|1|1|TB|OE|19|37||||1|0||
WHANAU,10WAHI,0,OE,Life Skills/Personal Development,Year 1,1,English and Languages,TB,19,19,2025TT,WHANAU|10WAHI||||TB|OE|19|19||||2|0||
MEET,10WAHI,0,OE,MEET,0,0,MEET,TB,19,19,2025TT,MEET|10WAHI||||TB|OE|19|19||||2|0||
WHANAU,7WWAI,0,PAV,Life Skills/Personal Development,Year 1,1,English and Languages,BT,13,13,2025TT,WHANAU|7WWAI||||BT|PAV|13|13||||2|0||
MEET,7WWAI,0,PAV,MEET,0,0,MEET,BT,13,13,2025TT,MEET|7WWAI||||BT|PAV|13|13||||2|0||
RDA,0,0,RDA,RDA,0,0,RDA,CV,6,6,2025TT,RDA|||||CV|RDA|6|6|24025;25030;24029;23096;19066;22019|||3|0
RDAVolunte,0,0,RDA,RDAVolunte,0,0,RDAVolunte,GH,1,1,2025TT,RDAVolunte|||||GH|RDA|1|1|24119|||3|0
TAAUTO1,8,1,TT,Automotive Year 1,NCEA Level 2,12,Trades Academy,BT,2,2,2025TT,TAAUTO1||8|1|0|BT|TT|2|2||||1|1||
MITEXT,JMI,0,TT,Textiles Technology,Junior School,8,Technology,DK,20,20,2025TT,MITEXT|JMI||||DK|TT|20|20||||2|0||
7STEXT,7S,0,TT,Textiles/Clothing,Year 7,7,Technology,HM,13,13,2025TT,7STEXT|7S||||HM|TT|13|13||||2|0||
SDDRAMA,JSD,0,TT,Drama,Junior School,8,Arts,JA,19,19,2025TT,SDDRAMA|JSD||||JA|TT|19|19||||2|0||
TANURS3,9,1,TT,Nursery Year 3,NCEA Level 3,13,Trades Academy,RS,1,1,2025TT,TANurs3||9|1|0|RS|TT|1|1||||1|0||
NL3DRA,8,1,TT,L3Drama NeTNZ,NCEA Level 3,13,Arts,RS,3,3,2025TT,NL3DRA||8|1|0|RS|TT|3|3||||1|0||
NL3HIS,8,1,TT,NETNZ L3 History,NCEA Level 3,13,Social Science,RS,1,1,2025TT,NL3HIS||8|1|0|RS|TT|1|1||||1|0||
NL3SPA,8,1,TT,L3 Spanish,NCEA Level 3,13,English and Languages,RS,1,1,2025TT,NL3SPA||8|1|0|RS|TT|1|1||||1|0||
TACON2,8,1,TT,Building and Construction,NCEA Level 3,13,Trades Academy,RS,0,0,2025TT,TACON2||8|1|0|RS|TT|0|0||||1|0||
TACOOK2,8,1,TT,Cookery Year 2,NCEA Level 3,13,Trades Academy,RS,1,1,2025TT,TACOOK2||8|1|0|RS|TT|1|1||||1|0||
TAHANDB2,8,1,TT,Hair and Beauty Year 2,NCEA Level 3,13,Trades Academy,RS,1,1,2025TT,TAHANDB2||8|1|0|RS|TT|1|1||||1|0||
TKL3GER,8,1,TT,German L3 Tk,NCEA Level 3,13,English and Languages,RS,2,2,2025TT,TKL3GER||8|1|0|RS|TT|2|2||||1|0||
TKL3MAO,8,1,TT,Te Reo Maori,NCEA Level 3,13,Te Reo Māori,RS,3,6,2025TT,TKL3MAO||8|1|0|RS|TT|3|6||||1|0||
NL2DVC,9,1,TT,Level 2 NETNZ Design & Visual Communication,NCEA Level 2,12,Technology,RS,1,1,2025TT,NL2DVC||9|1|0|RS|TT|1|1||||1|0||
NL2MED,9,1,TT,Media Studies,NCEA Level 2,12,Social Science,RS,1,1,2025TT,NL2MED||9|1|0|RS|TT|1|1||||1|0||
TACOOK1,9,1,TT,Cookery Year 1,NCEA Level 2,12,Trades Academy,RS,2,2,2025TT,TACOOK1||9|1|0|RS|TT|2|2||||1|0||
MANTAP2,8,1,TT,Manaaki Tapoi Level 2,NCEA Level 2,12,Te Reo Māori,RS,3,3,2025TT,MANTAP2||8|1|0|RS|TT|3|3||||1|0||
NL2DRA,8,1,TT,Level 2 NETNZ Drama,NCEA Level 2,12,Arts,RS,3,3,2025TT,NL2DRA||8|1|0|RS|TT|3|3||||1|0||
NL2PYS,8,1,TT,L2 Psychology,NCEA Level 2,12,Social Science,RS,1,1,2025TT,NL2PYS||8|1|0|RS|TT|1|1||||1|0||
TAAUTO1,8,1,TT,Automotive Year 1,NCEA Level 2,12,Trades Academy,RS,2,2,2025TT,TAAUTO1||8|1|0|RS|TT|2|2||||1|0||
TACAF,8,1,TT,Cafe Skills,NCEA Level 2,12,Trades Academy,RS,1,1,2025TT,TACAF||8|1|0|RS|TT|1|1||||1|0||
TACOOK1,8,1,TT,Cookery Year 1,NCEA Level 2,12,Trades Academy,RS,0,2,2025TT,TACOOK1||8|1|0|RS|TT|0|2||||1|0||
TAHANDB1,8,1,TT,Hair and Beauty Year 1,NCEA Level 2,12,Trades Academy,RS,4,4,2025TT,TAHANDB1||8|1|0|RS|TT|4|4||||1|0||
TAMECAD1,8,1,TT,Engineering and CAD Design Year 1,NCEA Level 2,12,Trades Academy,RS,1,1,2025TT,TAMECAD1||8|1|0|RS|TT|1|1||||1|0||
TAMECAD2,8,1,TT,Engineering and CAD Design Year 2,NCEA Level 2,12,Trades Academy,RS,4,4,2025TT,TAMECAD2||8|1|0|RS|TT|4|4||||1|0||
TAPEST,8,1,TT,Trades Pest Control Level 2,NCEA Level 2,12,Trades Academy,RS,1,1,2025TT,TAPEST||8|1|0|RS|TT|1|1||||1|0||
TK2DTE,8,1,TT,L2 Digital Technology,NCEA Level 2,12,Technology,RS,1,1,2025TT,TK2DTE||8|1|0|RS|TT|1|1||||1|0||
TK2PHY,8,1,TT,Level 2 Physics (Te Kura),NCEA Level 2,12,Science,RS,0,0,2025TT,TK2PHY||8|1|0|RS|TT|0|0||||1|0||
TKL2MAO,8,1,TT,Te Reo Maori,NCEA Level 2,12,Te Reo Māori,RS,0,0,2025TT,TKL2MAO||8|1|0|RS|TT|0|0||||1|0||
EESL1,9,1,TT,Explore Emergency Services Level 1 Whenua Iti,NCEA Level 1,11,Trades Academy,RS,1,1,2025TT,EESL1||9|1|0|RS|TT|1|1||||1|0||
NL1MAO,9,1,TT,L1 Te Reo Māori,NCEA Level 1,11,Te Reo Māori,RS,4,4,2025TT,NL1MAO||9|1|0|RS|TT|4|4||||1|0||
NL1COM,8,1,TT,Commerce,NCEA Level 1,11,Social Science,RS,1,1,2025TT,NL1COM||8|1|0|RS|TT|1|1||||1|0||
MTEXT,82D,1,TT,Textiles,Middle School,10,Technology,RS,23,33,2025TT,MTEXT||82|1|4|RS|TT|23|33||||1|0||
MTEXT,82C,1,TT,Textiles,Middle School,10,Technology,RS,23,33,2025TT,MTEXT||82|1|3|RS|TT|23|33||||1|0||
MTEXT,82B,1,TT,Textiles,Middle School,10,Technology,RS,21,33,2025TT,MTEXT||82|1|2|RS|TT|21|33||||1|0||
MTEXT,82A,1,TT,Textiles,Middle School,10,Technology,RS,21,33,2025TT,MTEXT||82|1|1|RS|TT|21|33||||1|0||
8STEXT,8S,0,TT,St Mary's Textiles Technology,Year 8,8,Technology,RS,11,11,2025TT,8STEXT|8S||||RS|TT|11|11||||2|0||
VETEXT,JVE,0,TT,Textiles Technology,Junior School,7,Technology,RS,24,24,2025TT,VETEXT|JVE||||RS|TT|24|24||||2|0||
SRTEXT,JSR,0,TT,Textiles Technology,Junior School,7,Technology,RS,19,19,2025TT,SRTEXT|JSR||||RS|TT|19|19||||2|0||
SDTEXT,JSD,0,TT,Textiles Technology,Junior School,7,Technology,RS,19,19,2025TT,SDTEXT|JSD||||RS|TT|19|19||||2|0||
WHANAU,13RS,0,TT,Life Skills/Personal Development,Year 1,1,English and Languages,RS,9,9,2025TT,WHANAU|13RS||||RS|TT|9|9||||2|0||
TKBGER,8,1,TT,Specify Subject Name,Year 1,1,Learning Support,RS,1,1,2025TT,TKBGER||8|1|0|RS|TT|1|1||||1|0||
MEET,13RS,0,TT,MEET,0,0,MEET,RS,9,9,2025TT,MEET|13RS||||RS|TT|9|9||||2|0||
LIFESKILLS,8,1,TT,LIFESKILLS,0,0,LIFESKILLS,RS,1,1,2025TT,LIFESKILLS||8|1|0|RS|TT|1|1||||1|0||
TKL3GER,6,1,TT1,German L3 Tk,NCEA Level 3,13,English and Languages,JT,2,2,2025TT,TKL3GER||6|1|0|JT|TT1|2|2||||1|0|5|200021604
TKL3MAO,3,1,TT1,Te Reo Maori,NCEA Level 3,13,Te Reo Māori,JT,6,6,2025TT,TKL3MAO||3|1|0|JT|TT1|6|6||||1|0|7|200021635
TKL2MAO,3,1,TT1,Te Reo Maori,NCEA Level 2,12,Te Reo Māori,JT,0,0,2025TT,TKL2MAO||3|1|0|JT|TT1|0|0||||1|0|7|200021635
NETNZ,6,1,TT1,NETNZ,NCEA Level 1,11,Administration,JT,0,1,2025TT,NETNZ||6|1|0|JT|TT1|0|1||||1|0|5|200021604
NETNZTEREO,6,1,TT1,Level 1 Te Reo Maori,NCEA Level 1,11,Te Reo Māori,JT,2,3,2025TT,NETNZTEREO||6|1|0|JT|TT1|2|3||||1|0|5|200021604
NETNZ,5,1,TT1,NETNZ,NCEA Level 1,11,Administration,JT,0,1,2025TT,NETNZ||5|1|0|JT|TT1|0|1||||1|0|3|200021635
NETNZCOM,5,1,TT1,Level 1 NETNZ Commerce,NCEA Level 1,11,Social Science,JT,1,1,2025TT,NETNZCOM||5|1|0|JT|TT1|1|1||||1|0|4|200021604
NETNZTEREO,5,1,TT1,Level 1 Te Reo Maori,NCEA Level 1,11,Te Reo Māori,JT,1,3,2025TT,NETNZTEREO||5|1|0|JT|TT1|1|3||||1|0|4|200021604
NETNZ,4,1,TT1,NETNZ,NCEA Level 1,11,Administration,JT,0,1,2025TT,NETNZ||4|1|0|JT|TT1|0|1||||1|0||
NETNZ,2,1,TT1,NETNZ,NCEA Level 1,11,Administration,JT,0,1,2025TT,NETNZ||2|1|0|JT|TT1|0|1||||1|0||
NETNZ,1,1,TT1,NETNZ,NCEA Level 1,11,Administration,JT,0,1,2025TT,NETNZ||1|1|0|JT|TT1|0|1||||1|0||
NETNZDRAMA,5,1,TT1,Drama,Year 1,1,Arts,JT,2,6,2025TT,NETNZDRAMA||5|1|0|JT|TT1|2|6||||1|0|4|200021604
NETMEDST,6,1,TT1,NETMEDST,0,0,NETMEDST,JT,0,0,2025TT,NETMEDST||6|1|0|JT|TT1|0|0||||1|0|3|200021657
NETNZGER,6,1,TT1,NETNZGER,0,0,NETNZGER,JT,0,0,2025TT,NETNZGER||6|1|0|JT|TT1|0|0||||1|0|4|200021635
NETNZMEDS,6,1,TT1,NETNZMEDS,0,0,NETNZMEDS,JT,1,1,2025TT,NETNZMEDS||6|1|0|JT|TT1|1|1||||1|0|4|200021635
NETNZSPA,6,1,TT1,NETNZSPA,0,0,NETNZSPA,JT,1,1,2025TT,NETNZSPA||6|1|0|JT|TT1|1|1||||1|0|5|200021604
NETNZPSYC,4,1,TT1,NETNZPSYC,0,0,NETNZPSYC,JT,1,1,2025TT,NETNZPSYC||4|1|0|JT|TT1|1|1||||1|0||
WHANAU,13NR,0,TUHUA,Life Skills/Personal Development,Year 1,1,English and Languages,NR,10,10,2025TT,WHANAU|13NR||||NR|TUHUA|10|10||||2|0||
MEET,13NR,0,TUHUA,MEET,0,0,MEET,NR,10,10,2025TT,MEET|13NR||||NR|TUHUA|10|10||||2|0||
Driver,9,1,TWA,Driver's Licence,NCEA Level 2,12,Administration,KV,0,0,2025TT,Driver||9|1|0|KV|TWA|0|0||||1|0||
Licence,9,1,TWA,English,Year 1,1,Gateway,KV,0,0,2025TT,Licence||9|1|0|KV|TWA|0|0||Driver||4|0||
s,9,1,TWA,Specify Subject Name,Year 1,1,Gateway,KV,0,0,2025TT,s||9|1|0|KV|TWA|0|0||Driver||4|0||
TWA,0,0,TWA,Special Needs Programme,Year 1,1,Learning Support,SA,1,1,2025TT,TWA|||||SA|TWA|1|1|22031|||3|0
VEVART,JVE,0,VA,Art,Junior School,8,Arts,BR,24,24,2025TT,VEVART|JVE||||BR|VA|24|24||||2|0||
MIVART,JMI,0,VA,Art,Junior School,8,Arts,BR,20,20,2025TT,MIVART|JMI||||BR|VA|20|20||||2|0||
SRVART,JSR,0,VA,Art,Year 7,7,Arts,BR,19,19,2025TT,SRVART|JSR||||BR|VA|19|19||||2|0||
SDART,JSD,0,VA,Art,Junior School,7,Arts,BR,19,19,2025TT,SDART|JSD||||BR|VA|19|19||||2|0||
PIVART,JPI,0,VA,Art,Junior School,7,Arts,BR,21,21,2025TT,PIVART|JPI||||BR|VA|21|21||||2|0||
300Paint,6,1,VA,L3 Painting,NCEA Level 3,13,Arts,Mn,2,2,2025TT,300Paint||6|1|0|Mn|VA|2|2||||1|0|2|200021658
300Print,6,1,VA,L3 Printmaking,NCEA Level 3,13,Arts,Mn,0,3,2025TT,300Print||6|1|0|Mn|VA|0|3||||1|0|2|200021658
300SCULPT,6,1,VA,L3 Sculpture,NCEA Level 3,13,Arts,Mn,1,1,2025TT,300SCULPT||6|1|0|Mn|VA|1|1||||1|0||
300Paint,2,1,VA,L3 Painting,NCEA Level 3,13,Arts,Mn,0,2,2025TT,300Paint||2|1|0|Mn|VA|0|2||||1|0|3|200021653
300Print,2,1,VA,L3 Printmaking,NCEA Level 3,13,Arts,Mn,3,3,2025TT,300Print||2|1|0|Mn|VA|3|3||||1|0|3|200021653
300SCULPT,2,1,VA,L3 Sculpture,NCEA Level 3,13,Arts,Mn,1,1,2025TT,300SCULPT||2|1|0|Mn|VA|1|1||||1|0||
200DESIGN,6,1,VA,L2 Design,NCEA Level 2,12,Arts,Mn,1,1,2025TT,200DESIGN||6|1|0|Mn|VA|1|1||||1|0||
200Paint,6,1,VA,L2 Painting,NCEA Level 2,12,Arts,Mn,8,11,2025TT,200Paint||6|1|0|Mn|VA|8|11||||1|0|9|200021637
200Photo,6,1,VA,L2 Photography,NCEA Level 2,12,Arts,Mn,0,5,2025TT,200Photo||6|1|0|Mn|VA|0|5||||1|0|9|200021637
200Print,6,1,VA,L2 Printmaking,NCEA Level 2,12,Arts,Mn,1,1,2025TT,200Print||6|1|0|Mn|VA|1|1||||1|0|9|200021637
200Sculpt,6,1,VA,L2 Sculpture,NCEA Level 2,12,Arts,Mn,0,3,2025TT,200Sculpt||6|1|0|Mn|VA|0|3||||1|0|9|200021637
200Paint,2,1,VA,L2 Painting,NCEA Level 2,12,Arts,Mn,3,11,2025TT,200Paint||2|1|0|Mn|VA|3|11||||1|0|11|200021632
200Photo,2,1,VA,L2 Photography,NCEA Level 2,12,Arts,Mn,5,5,2025TT,200Photo||2|1|0|Mn|VA|5|5||||1|0|11|200021632
200Print,2,1,VA,L2 Printmaking,NCEA Level 2,12,Arts,Mn,0,1,2025TT,200Print||2|1|0|Mn|VA|0|1||||1|0|11|200021632
200Sculpt,2,1,VA,L2 Sculpture,NCEA Level 2,12,Arts,Mn,3,3,2025TT,200Sculpt||2|1|0|Mn|VA|3|3||||1|0|11|200021632
100VART,6,1,VA,Visual Art,NCEA Level 1,11,Arts,MN,5,10,2025TT,100VART||6|1|0|Mn|VA|5|10||||1|0||
100VART,2,1,VA,Visual Art,NCEA Level 1,11,Arts,MN,5,10,2025TT,100VART||2|1|0|Mn|VA|5|10||||1|0||
MVART,81D,1,VA,Art,Middle School,10,Arts,Mn,20,38,2025TT,MVART||81|1|4|Mn|VA|20|38||||1|0||
MVART,81C,1,VA,Art,Middle School,10,Arts,Mn,21,38,2025TT,MVART||81|1|3|Mn|VA|21|38||||1|0||
MVART,81B,1,VA,Art,Middle School,10,Arts,Mn,20,38,2025TT,MVART||81|1|2|Mn|VA|20|38||||1|0||
MVART,81A,1,VA,Art,Middle School,10,Arts,Mn,21,38,2025TT,MVART||81|1|1|Mn|VA|21|38||||1|0||
WHANAU,12WAHI,0,VA,Life Skills/Personal Development,Year 1,1,English and Languages,Mn,13,13,2025TT,WHANAU|12WAHI||||Mn|VA|13|13||||2|0||
NetNZAH,Mn,0,VA,NetNZAH,0,0,NetNZAH,Mn,0,0,2025TT,NetNZAH|Mn||||Mn|VA|0|0||||2|0||
NETNZClass,Mn,0,VA,NETNZClass,0,0,NETNZClass,Mn,0,0,2025TT,NETNZClass|Mn||||Mn|VA|0|0||||2|0||
MEET,12WAHI,0,VA,MEET,0,0,MEET,Mn,13,13,2025TT,MEET|12WAHI||||Mn|VA|13|13||||2|0||
300TEAO,4,1,WHARE,Te Ao Māori,NCEA Level 3,13,Te Reo Māori,WE,6,6,2025TT,300TEAO||4|1|0|WE|WHARE|6|6||||1|0||
200TEAO,4,1,WHARE,Te Ao Māori,NCEA Level 2,12,Te Reo Māori,WE,0,0,2025TT,200TEAO||4|1|0|WE|WHARE|0|0||||1|0||
100TEAO,4,1,WHARE,Te Ao Māori,NCEA Level 1,11,Te Reo Māori,WE,4,4,2025TT,100TEAO||4|1|0|WE|WHARE|4|4||||1|0||
WHANAU,WTEREO,0,WHARE,Life Skills/Personal Development,Year 1,1,English and Languages,WE,38,38,2025TT,WHANAU|WTEREO||||WE|WHARE|38|38||||2|0||
MEET,WTEREO,0,WHARE,MEET,0,0,MEET,WE,38,38,2025TT,MEET|WTEREO||||WE|WHARE|38|38||||2|0||
300TEAO,4,1,WHARE,Te Ao Māori,NCEA Level 3,13,Te Reo Māori,WW,6,6,2025TT,300TEAO||4|1|0|WW|WHARE|6|6||||1|1||
TKL3MAO,3,1,WHARE,Te Reo Maori,NCEA Level 3,13,Te Reo Māori,WW,6,6,2025TT,TKL3MAO||3|1|0|WW|WHARE|6|6||||1|0||
200TEAO,4,1,WHARE,Te Ao Māori,NCEA Level 2,12,Te Reo Māori,WW,0,0,2025TT,200TEAO||4|1|0|WW|WHARE|0|0||||1|1||
TKL2MAO,3,1,WHARE,Te Reo Maori,NCEA Level 2,12,Te Reo Māori,WW,0,0,2025TT,TKL2MAO||3|1|0|WW|WHARE|0|0||||1|0||
100TEAO,4,1,WHARE,Te Ao Māori,NCEA Level 1,11,Te Reo Māori,WW,4,4,2025TT,100TEAO||4|1|0|WW|WHARE|4|4||||1|1||
300TREO,3,1,WHARE,Te Reo Maori,NCEA Level 3,13,Te Reo Māori,0,0,0,2025TT,300TREO||3|1|0||WHARE|0|0||||1|0||
200TREO,3,1,WHARE,Te Reo Maori,NCEA Level 2,12,Te Reo Māori,0,0,0,2025TT,200TREO||3|1|0||WHARE|0|0||||1|0||
100TREO,3,1,WHARE,Te Reo Maori,NCEA Level 1,11,Te Reo Māori,0,0,0,2025TT,100TREO||3|1|0||WHARE|0|0||||1|0||
MTEREO,82D,1,WHARE1,Te Reo Maori,Middle School,10,Te Reo Māori,BP,8,18,2025TT,MTEREO||82|1|4|BP|WHARE1|8|18||||1|0||
MTEREO,82C,1,WHARE1,Te Reo Maori,Middle School,10,Te Reo Māori,BP,8,18,2025TT,MTEREO||82|1|3|BP|WHARE1|8|18||||1|0||
MTEREO,82B,1,WHARE1,Te Reo Maori,Middle School,10,Te Reo Māori,BP,13,18,2025TT,MTEREO||82|1|2|BP|WHARE1|13|18||||1|0||
MTEREO,82A,1,WHARE1,Te Reo Maori,Middle School,10,Te Reo Māori,BP,13,18,2025TT,MTEREO||82|1|1|BP|WHARE1|13|18||||1|0||
MTRMATH,MTR,0,WHARE1,Mathematics,Middle School,10,Mathematics,SD,10,10,2025TT,MTRMATH|MTR||||SD|WHARE1|10|10||||2|0||
MTRENG,MTR,0,WHARE1,English,Middle School,10,English and Languages,WA,10,10,2025TT,MTRENG|MTR||||WA|WHARE1|10|10||||2|0||
MAKORANGA,MTR,0,WHARE1,MAkoranga,Year 9,9,Te Reo Māori,WE,10,10,2025TT,MAKORANGA|MTR||||WE|WHARE1|10|10||||2|0||
MTREO,MTR,0,WHARE1,JMTe reo Maori,Year 9,9,Te Reo Māori,WE,10,10,2025TT,MTREO|MTR||||WE|WHARE1|10|10||||2|0||
MPANGARAU,MTR,0,WHARE1,MPANGARAU,0,0,MPANGARAU,WE,10,10,2025TT,MPANGARAU|MTR||||WE|WHARE1|10|10||||2|0||
MTRPAKEHA,MTR,0,WHARE1,MTRPAKEHA,0,0,MTRPAKEHA,WE,10,10,2025TT,MTRPAKEHA|MTR||||WE|WHARE1|10|10||||2|0||
JTRENG,JTR,0,WHARE2,English,Junior School,8,English and Languages,WA,14,14,2025TT,JTRENG|JTR||||WA|WHARE2|14|14||||2|0||
